Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1,Area
Scotts Food Court,Quick Serve,American,141 W 41st St,2127681111,,1,10036.0,40.754756,-73.985956,5.0,4.0,113.0,1022574.0,1009940016.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985956', 'needs_recoding': False, 'human_address': '{""address"":""141 W 41st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754756'}",
Ruth's Chris Steak House,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,1,10020.0,40.761357,-73.981969,5.0,4.0,131.0,1022710.0,1010037501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.981969', 'needs_recoding': False, 'human_address': '{""address"":""148 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761357'}",
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,1,10036.0,40.757981,-73.983627,5.0,4.0,125.0,1022664.0,1009990011.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983627', 'needs_recoding': False, 'human_address': '{""address"":""149 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757981'}",
Pasta Lovers Trattoria,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,1,10019.0,40.759798,-73.982172,5.0,4.0,125.0,1022694.0,1010010055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982172', 'needs_recoding': False, 'human_address': '{""address"":""142 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759798'}",
Starbucks,Coffee,,1460 Broadway,2122217515,www.starbucks.com,1,10036.0,40.754998,-73.986284,5.0,4.0,113.0,1022573.0,1009947504.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986284', 'needs_recoding': False, 'human_address': '{""address"":""1460 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754998'}",
Iroha,Full Serve,Japanese,152 W 49th St,212 398-9049,,1,10019.0,40.759883,-73.982374,5.0,4.0,125.0,1022696.0,1010010059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982374', 'needs_recoding': False, 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759883'}",
Sapporo,Full Serve,Japanese,152 W 49th St,212 869-8972,,1,10019.0,40.759883,-73.982374,5.0,4.0,125.0,1022696.0,1010010059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982374', 'needs_recoding': False, 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759883'}",
Virtigo Cafe Llc,Café / Deli,,234 W 42nd St,2122219454,,1,10036.0,40.756747,-73.988659,5.0,3.0,113.0,1024665.0,1010130012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988659', 'needs_recoding': False, 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756747'}",
McDonald's,Quick Serve,Fast Food,1651 Broadway,2125865530,,1,10019.0,40.762164,-73.983575,5.0,3.0,131.0,1024817.0,1010230018.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983575', 'needs_recoding': False, 'human_address': '{""address"":""1651 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762164'}",
La Rivista Ristorante,Full Serve,Italian,313 W 46th St,212-245-1707,www.larivistanyc.com,1,10036.0,40.760082,-73.98859,4.0,3.0,127.0,1025051.0,1010370025.0,Clinton                                                                    ,"{'longitude': '-73.98859', 'needs_recoding': False, 'human_address': '{""address"":""313 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760082'}",
McDonald's,Quick Serve,Fast Food,220 W 42nd St,2122217664,www.mcdonalds.com,1,10036.0,40.756412,-73.987858,5.0,3.0,113.0,1024663.0,1010130042.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987858', 'needs_recoding': False, 'human_address': '{""address"":""220 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756412'}",
McDonald's,Quick Serve,Fast Food,688 Eighth Ave,2122213941,,1,10036.0,40.758218,-73.989059,5.0,3.0,119.0,1024704.0,1010150004.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.989059', 'needs_recoding': False, 'human_address': '{""address"":""688 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758218'}",
"1657 Broadway Deli, Ltd.",Café / Deli,,1651-1665 Broadway,2129560099,,1,10019.0,40.762164,-73.983575,5.0,3.0,131.0,1024817.0,1010230018.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983575', 'needs_recoding': False, 'human_address': '{""address"":""1651-1665 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762164'}",
Hard Rock Cafe,Full Serve,American,1501 Broadway,2123433355,www.hardrockcafe.com,1,10036.0,40.757103,-73.986193,5.0,3.0,119.0,1024706.0,1010150029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986193', 'needs_recoding': False, 'human_address': '{""address"":""1501 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757103'}",
Orso,Full Serve,Italian,322 W 46th St,212-489-7212,www.orsorestaurant.com,1,10036.0,40.760153,-73.988803,4.0,3.0,121.0,1025032.0,1010360142.0,Clinton                                                                    ,"{'longitude': '-73.988803', 'needs_recoding': False, 'human_address': '{""address"":""322 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760153'}",
Sangria 46,Full Serve,Spanish,338 W 46th St,212-581-8482,www.sangria46.com,1,10036.0,40.76029,-73.989124,4.0,3.0,121.0,1082452.0,1010360149.0,Clinton                                                                    ,"{'longitude': '-73.989124', 'needs_recoding': False, 'human_address': '{""address"":""338 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.76029'}",
Restaurant,Full Serve,American,155 W 46th St,2128690900,www.lemarais.net,1,10036.0,40.758031,-73.983746,5.0,4.0,125.0,1022662.0,1009990008.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983746', 'needs_recoding': False, 'human_address': '{""address"":""155 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758031'}",
TGI Friday's,Full Serve,American,1552 Broadway,2129447352,www.fridays.com,1,10036.0,40.758665,-73.984977,5.0,4.0,125.0,1022660.0,1009990001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984977', 'needs_recoding': False, 'human_address': '{""address"":""1552 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758665'}",
Ocha Sushi,Full Serve,Japanese,350 W 46th St,2125813198,,1,10036.0,40.760395,-73.989369,4.0,3.0,121.0,1025023.0,1010360053.0,Clinton                                                                    ,"{'longitude': '-73.989369', 'needs_recoding': False, 'human_address': '{""address"":""350 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760395'}",
Capri Ristorante - CLOSED,Full Serve,Italian,358 W 46th St,212 582-5850,http://www.capri46.com,1,10036.0,40.760463,-73.989528,4.0,3.0,121.0,1025025.0,1010360057.0,Clinton                                                                    ,"{'longitude': '-73.989528', 'needs_recoding': False, 'human_address': '{""address"":""358 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760463'}",
Paramount Cafe,Café / Deli,,"1501 Broadway, Suite# 2009",2123916675,,1,10036.0,40.757103,-73.986193,5.0,3.0,119.0,1024706.0,1010150029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986193', 'needs_recoding': False, 'human_address': '{""address"":""1501 Broadway, Suite# 2009"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757103'}",
Cosi,Café / Deli,,1633 Broadway,2123972674,www.cosiny.com,1,10019.0,40.761574,-73.983962,5.0,3.0,131.0,1024812.0,1010220043.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983962', 'needs_recoding': False, 'human_address': '{""address"":""1633 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761574'}",
Mars 2112,Full Serve,American,"1633 Broadway, Suite# B",2125822112,www.mars2112.com,1,10019.0,40.761574,-73.983962,5.0,3.0,131.0,1024812.0,1010220043.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983962', 'needs_recoding': False, 'human_address': '{""address"":""1633 Broadway, Suite# B"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761574'}",
McDonald's,Quick Serve,Fast Food,"1560 Broadway, Suite# 1651",2129218900,www.mcdonalds.com,1,10036.0,40.75886,-73.984843,5.0,4.0,125.0,1022661.0,1009990003.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984843', 'needs_recoding': False, 'human_address': '{""address"":""1560 Broadway, Suite# 1651"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.75886'}",
Red Lobster,Full Serve,Seafood,5 Times Sq,2127306706,www.redlobster.com,1,10036.0,40.755709,-73.987208,5.0,3.0,113.0,1024656.0,1010130029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987208', 'needs_recoding': False, 'human_address': '{""address"":""5 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.755709'}",
Roxy Deli,Café / Deli,,1565 Broadway,212-921-3333,www.roxydeli.com,1,10036.0,40.759192,-73.985186,5.0,3.0,125.0,1024749.0,1010180139.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985186', 'needs_recoding': False, 'human_address': '{""address"":""1565 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759192'}",
The Whiskey,Bar / Lounge,,1567 Broadway,2129307444,www.midnightoilbars.com,1,10036.0,40.759247,-73.985168,5.0,3.0,125.0,1024742.0,1010187501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985168', 'needs_recoding': False, 'human_address': '{""address"":""1567 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759247'}",
Times Deli Café,Café / Deli,,158 W 44th St,212 944-1234,,1,10036.0,40.756763,-73.98467,5.0,4.0,119.0,1022623.0,1009960156.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.98467', 'needs_recoding': False, 'human_address': '{""address"":""158 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756763'}",
Starbucks,Coffee,,1585 Broadway,2125417515,www.starbucks.com,1,10036.0,40.760216,-73.985334,5.0,3.0,125.0,1076193.0,1010197502.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985334', 'needs_recoding': False, 'human_address': '{""address"":""1585 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760216'}",
vacant (former starbucks),Coffee,,1600 Broadway,2122451936,www.starbucks.com,1,10019.0,40.76035,-73.984713,5.0,4.0,125.0,1087187.0,1010207502.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984713', 'needs_recoding': False, 'human_address': '{""address"":""1600 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.76035'}",
Spotlight Times Square,Full Serve,American,1604-1610 Broadway,2129776773,,1,10019.0,40.760487,-73.984648,5.0,4.0,125.0,1024779.0,1010200038.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984648', 'needs_recoding': False, 'human_address': '{""address"":""1604-1610 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760487'}",
New York Bagel Company,Café / Deli,,1674 Broadway,2123977720,www.networkbeyond.com,1,10019.0,40.762861,-73.983109,5.0,4.0,131.0,1024831.0,1010240131.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983109', 'needs_recoding': False, 'human_address': '{""address"":""1674 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762861'}",
Crumbs,Quick Serve,Dessert,1675 Broadway,2127949800,http://crumbs.com/,1,10019.0,40.762963,-73.983073,5.0,3.0,131.0,1076199.0,1010240015.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983073', 'needs_recoding': False, 'human_address': '{""address"":""1675 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762963'}",
Olive Garden Italian Restaurant,Full Serve,Italian,2 Times Sq,2123333254,www.olivegarden.com,1,10036.0,40.75931,-73.984857,5.0,4.0,125.0,1024757.0,1010197501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984857', 'needs_recoding': False, 'human_address': '{""address"":""2 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.75931'}",
Dean & Deluca,Café / Deli,,620 Eighth Ave,2122210308,www.deandeluca.com,1,10018.0,40.756039,-73.990651,5.0,3.0,113.0,1087186.0,1010127501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.990651', 'needs_recoding': False, 'human_address': '{""address"":""620 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756039'}",
Subway,Quick Serve,Fast Food,214 W 50th St,2122651822,,1,10019.0,40.761585,-73.984456,5.0,3.0,125.0,1024803.0,1010210048.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984456', 'needs_recoding': False, 'human_address': '{""address"":""214 W 50th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761585'}",
The Alicart Restaurant Group,Catering,,1501 Broadway,2126759790,http://www.alicart.com/,1,10036.0,40.757103,-73.986193,5.0,3.0,119.0,1024706.0,1010150029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986193', 'needs_recoding': False, 'human_address': '{""address"":""1501 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757103'}",
Lp Food & Beverage Inc/Oceo,Catering,,224 W 49th St,2122626236,www.oceo.com,1,10019.0,40.761014,-73.985052,5.0,3.0,125.0,1024782.0,1010200051.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985052', 'needs_recoding': False, 'human_address': '{""address"":""224 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761014'}",
Oceo,Full Serve,Afghan,224 West 49th Street,212 262-6236,,1,10019.0,40.761014,-73.985052,5.0,3.0,125.0,1024782.0,1010200051.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985052', 'needs_recoding': False, 'human_address': '{""address"":""224 West 49th Street"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761014'}",
Serafina @ Time Hotel,Full Serve,Italian,224 W 49th St,212,,1,10019.0,40.761014,-73.985052,5.0,3.0,125.0,1024782.0,1010200051.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985052', 'needs_recoding': False, 'human_address': '{""address"":""224 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761014'}",
Carvel,Quick Serve,Dessert,1501 Broadway,212 391-6675,,1,10036.0,40.757103,-73.986193,5.0,3.0,119.0,1024706.0,1010150029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986193', 'needs_recoding': False, 'human_address': '{""address"":""1501 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757103'}",
Havana Central,Full Serve,Cuban,151 West 46th Street,2123987440,www.havanacentral.com,1,10036.0,40.757998,-73.983667,5.0,4.0,125.0,1022663.0,1009990009.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983667', 'needs_recoding': False, 'human_address': '{""address"":""151 West 46th Street"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757998'}",
Domino's Pizza,Quick Serve,Pizza,230 W 41st St,2129440400,,1,10036.0,40.755802,-73.988482,5.0,3.0,113.0,1080830.0,1010120015.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988482', 'needs_recoding': False, 'human_address': '{""address"":""230 W 41st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.755802'}",
Pinnacle Bar,Full Serve,American,"234 W 42nd St
25th Floor",212-642-2607,www1.hilton.com/en_US/hi/hotel/NYCTSHF-Hilton-Times-Square-New-York/dining.do,1,10036.0,40.756747,-73.988659,5.0,3.0,113.0,1024665.0,1010130012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988659', 'needs_recoding': False, 'human_address': '{""address"":""234 W 42nd St 25th Floor"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756747'}",
Applebee's Neighborhood Grill and Bar,Full Serve,American,234 W 42nd St,914-777-2331 Ext.116,www.ApplebeesNY.com,1,10036.0,40.756747,-73.988659,5.0,3.0,113.0,1024665.0,1010130012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988659', 'needs_recoding': False, 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756747'}",
Chock full o' Nuts Cafe,Café / Deli,,234 W 42nd St,2127645969,www.chockfullonuts.com,1,10036.0,40.756747,-73.988659,5.0,3.0,113.0,1024665.0,1010130012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988659', 'needs_recoding': False, 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756747'}",
Juniors Restaurant,Full Serve,American,1515 Broadway,212-302-2000,www.juniorscheescake.com,1,10036.0,40.757636,-73.985804,5.0,3.0,119.0,1024714.0,1010160036.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985804', 'needs_recoding': False, 'human_address': '{""address"":""1515 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757636'}",
Aureole,Full Serve,American,1 Bryant Park,2123191660,www.charliepalmer.com,1,10036.0,40.755182,-73.98388,5.0,4.0,119.0,1087268.0,1009950033.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.98388', 'needs_recoding': False, 'human_address': '{""address"":""1 Bryant Park"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.755182'}",
Haggis Inc,Full Serve,Scottish,120 W 44th St,2128408413,,1,10036.0,40.756461,-73.983952,5.0,4.0,119.0,1022616.0,1009960043.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983952', 'needs_recoding': False, 'human_address': '{""address"":""120 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756461'}",
