Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1,Area
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023.0,40.776988,-73.977766,7.0,6.0,157.0,1087511.0,1011257502.0,Lincoln Square                                                             ,"{'longitude': '-73.977766', 'needs_recoding': False, 'human_address': '{""address"":""27 West 72nd Street"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.776988'}",
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,1,10036.0,40.756867,-73.988901,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988901', 'needs_recoding': False, 'human_address': '{""address"":""251 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756867'}",
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,1,10036.0,40.76052,-73.985817,5.0,3.0,125.0,1024765.0,1010190059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985817', 'needs_recoding': False, 'human_address': '{""address"":""244 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.76052'}",
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,,1,10036.0,40.757309,-73.987901,5.0,3.0,119.0,1085096.0,1010140055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987901', 'needs_recoding': False, 'human_address': '{""address"":""250 W 43rd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757309'}",
Shula's Steakhouse,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,1,10036.0,40.757309,-73.987901,5.0,3.0,119.0,1085096.0,1010140055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987901', 'needs_recoding': False, 'human_address': '{""address"":""250 W 43rd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757309'}",
Scarlatto,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,1,10036.0,40.759892,-73.986276,5.0,3.0,125.0,1024744.0,1010180054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986276', 'needs_recoding': False, 'human_address': '{""address"":""250 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759892'}",
Toloache,Full Serve,Mexican,251 W 50th St,(212) 581-1818 ,www.toloachenyc.com,1,10019.0,40.761851,-73.985041,5.0,3.0,131.0,1024814.0,1010220101.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985041', 'needs_recoding': False, 'human_address': '{""address"":""251 W 50th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761851'}",
Bluechili,Full Serve,Pan Asian,251 W 51st St,(212) 246-3330,www.bluechilinyc.com,1,10019.0,40.762477,-73.984586,5.0,3.0,131.0,1024815.0,1010230005.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984586', 'needs_recoding': False, 'human_address': '{""address"":""251 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762477'}",
Pergola des Artistes,Full Serve,French,252 W 46th St,2123027500,pergoladesartistes.com,1,10036.0,40.759261,-73.986695,5.0,3.0,119.0,1024729.0,1010170057.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986695', 'needs_recoding': False, 'human_address': '{""address"":""252 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759261'}",
Trattoria Trecolori,Full Serve,Italian,254 W 47th St,(212) 997-4540,,1,10036.0,40.759919,-73.986348,5.0,3.0,125.0,1024746.0,1010180056.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986348', 'needs_recoding': False, 'human_address': '{""address"":""254 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759919'}",
Russian Samovar Restaurant,Full Serve,Russian,256 W 52nd St,(212) 757-0168,,1,10019.0,40.763111,-73.984192,5.0,3.0,131.0,1024821.0,1010230059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984192', 'needs_recoding': False, 'human_address': '{""address"":""256 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763111'}",
John's Pizzeria,Full Serve,Pizza,260 W 44th St,(212) 391-7560,www.johnpizzerianyc.com,1,10036.0,40.758124,-73.987897,5.0,3.0,119.0,1024710.0,1010150059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987897', 'needs_recoding': False, 'human_address': '{""address"":""260 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758124'}",
Just Pies Inc,Quick Serve,Dessert,260 W 44th St,2127217001,,1,10036.0,40.758124,-73.987897,5.0,3.0,119.0,1024710.0,1010150059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987897', 'needs_recoding': False, 'human_address': '{""address"":""260 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758124'}",
Sunrise Deli,Café / Deli,,1441 Broadway,2122216490,,1,10018.0,40.754707,-73.986753,5.0,3.0,113.0,1022569.0,1009930055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986753', 'needs_recoding': False, 'human_address': '{""address"":""1441 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754707'}",
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,1,10036.0,40.756667,-73.984396,5.0,4.0,119.0,1085016.0,1009970010.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984396', 'needs_recoding': False, 'human_address': '{""address"":""145 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756667'}",
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,1,10036.0,40.757336,-73.984017,5.0,4.0,119.0,1022634.0,1009980012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984017', 'needs_recoding': False, 'human_address': '{""address"":""145 W 45th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757336'}",
Vacant (Juan Valdez Coffee),Coffee,,1451 Broadway,212 871-7515,,1,10036.0,40.755152,-73.986613,5.0,3.0,113.0,1086069.0,1009940001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986613', 'needs_recoding': False, 'human_address': '{""address"":""1451 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.755152'}",
Abondanza,Café / Deli,,146 W 46th St,(212) 938-1333,,1,10036.0,40.757948,-73.983598,5.0,4.0,119.0,1022650.0,1009980054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983598', 'needs_recoding': False, 'human_address': '{""address"":""146 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757948'}",
Dervish Turkish Restaurant,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,1,10036.0,40.758579,-73.98315,5.0,4.0,125.0,1022670.0,1009990053.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.98315', 'needs_recoding': False, 'human_address': '{""address"":""146 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758579'}",
"Godiva Chocolatier, Inc.",Quick Serve,Dessert,1460 Broadway,(212) 840-6758,www.godiva.com,1,10036.0,40.754998,-73.986284,5.0,4.0,113.0,1022573.0,1009947504.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986284', 'needs_recoding': False, 'human_address': '{""address"":""1460 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754998'}",
Scotts Food Court,Quick Serve,American,141 W 41st St,2127681111,,1,10036.0,40.754756,-73.985956,5.0,4.0,113.0,1022574.0,1009940016.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985956', 'needs_recoding': False, 'human_address': '{""address"":""141 W 41st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754756'}",
Tony's Di Napoli,Full Serve,Italian,147 W 43rd Str,(212) 221-0100,www.tonysnyc.com,1,10036.0,40.756022,-73.984808,5.0,4.0,119.0,1022611.0,1009960009.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984808', 'needs_recoding': False, 'human_address': '{""address"":""147 W 43rd Str"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756022'}",
Bombay Masala Indian Restaurant,Full Serve,Indian,148 W 49th St,(212) 302-8150,www.bombaymasalany.com,1,10019.0,40.759847,-73.982294,5.0,4.0,125.0,1022698.0,1010010157.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982294', 'needs_recoding': False, 'human_address': '{""address"":""148 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759847'}",
Vacant (former Café Groppi),Café / Deli,,148 W 49th St,(212) 221-0082,,1,10019.0,40.759847,-73.982294,5.0,4.0,125.0,1022698.0,1010010157.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982294', 'needs_recoding': False, 'human_address': '{""address"":""148 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759847'}",
Ruth's Chris Steak House,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,1,10020.0,40.761357,-73.981969,5.0,4.0,131.0,1022710.0,1010037501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.981969', 'needs_recoding': False, 'human_address': '{""address"":""148 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761357'}",
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,1,10036.0,40.757981,-73.983627,5.0,4.0,125.0,1022664.0,1009990011.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983627', 'needs_recoding': False, 'human_address': '{""address"":""149 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757981'}",
Le Marais,Full Serve,French,150 W 46th St,(212) 869-0900,www.lemarais.net,1,10036.0,40.757984,-73.983677,5.0,4.0,119.0,1022651.0,1009980055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983677', 'needs_recoding': False, 'human_address': '{""address"":""150 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757984'}",
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,www.langans.com,1,10036.0,40.758612,-73.983233,5.0,4.0,125.0,1022671.0,1009990054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983233', 'needs_recoding': False, 'human_address': '{""address"":""150 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758612'}",
Y & H Grocery,Café / Deli,,150 W 47th St,(212) 840-1659,,1,10036.0,40.758612,-73.983233,5.0,4.0,125.0,1022671.0,1009990054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983233', 'needs_recoding': False, 'human_address': '{""address"":""150 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758612'}",
Bella Napoli,Full Serve,Italian,150 W 49th St,(212) 719-2819,,1,10019.0,40.759867,-73.982334,5.0,4.0,125.0,1022695.0,1010010058.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982334', 'needs_recoding': False, 'human_address': '{""address"":""150 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759867'}",
Osteria Al Doge,Full Serve,Italian,142 W 44th St,(212) 944-3643,www.osteria_doge.com,1,10036.0,40.756634,-73.984367,5.0,4.0,119.0,1022620.0,1009960051.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984367', 'needs_recoding': False, 'human_address': '{""address"":""142 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756634'}",
St. Andrews Restaurant and Bar,Bar / Lounge,,142 W 46th St,(212) 840-8413,www.standrewsnyc.com,1,10036.0,40.757915,-73.983519,5.0,4.0,119.0,1022659.0,1009980152.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983519', 'needs_recoding': False, 'human_address': '{""address"":""142 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757915'}",
Pasta Lovers Trattoria,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,1,10019.0,40.759798,-73.982172,5.0,4.0,125.0,1022694.0,1010010055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982172', 'needs_recoding': False, 'human_address': '{""address"":""142 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759798'}",
John's Shanghai,Full Serve,Chinese,144 W 46th St,(212) 869-9183,,1,10036.0,40.757932,-73.983558,5.0,4.0,119.0,1022649.0,1009980053.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983558', 'needs_recoding': False, 'human_address': '{""address"":""144 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757932'}",
Starbucks,Coffee,,1460 Broadway,2122217515,www.starbucks.com,1,10036.0,40.754998,-73.986284,5.0,4.0,113.0,1022573.0,1009947504.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986284', 'needs_recoding': False, 'human_address': '{""address"":""1460 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754998'}",
Virgils Real Barbecue,Full Serve,Barbecue,152 W 44th St,(212) 921-9494,www.virgilsbbq.com,1,10036.0,40.756716,-73.984558,5.0,4.0,119.0,1022621.0,1009960054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984558', 'needs_recoding': False, 'human_address': '{""address"":""152 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756716'}",
Iroha,Full Serve,Japanese,152 W 49th St,212 398-9049,,1,10019.0,40.759883,-73.982374,5.0,4.0,125.0,1022696.0,1010010059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982374', 'needs_recoding': False, 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759883'}",
Sapporo,Full Serve,Japanese,152 W 49th St,212 869-8972,,1,10019.0,40.759883,-73.982374,5.0,4.0,125.0,1022696.0,1010010059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982374', 'needs_recoding': False, 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759883'}",
Europa Cafe,Café / Deli,,152 W 51st St,(212) 581-0152,www.euorpacafe.com,1,10019.0,40.761439,-73.982168,5.0,4.0,131.0,1022710.0,1010037501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982168', 'needs_recoding': False, 'human_address': '{""address"":""152 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761439'}",
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,www.baramerican.com,1,10019.0,40.762005,-73.981568,5.0,4.0,131.0,1023157.0,1010040020.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.981568', 'needs_recoding': False, 'human_address': '{""address"":""152 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762005'}",
Virtigo Cafe Llc,Café / Deli,,234 W 42nd St,2122219454,,1,10036.0,40.756747,-73.988659,5.0,3.0,113.0,1024665.0,1010130012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988659', 'needs_recoding': False, 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756747'}",
Aoki,Full Serve,Japanese,234 W 48th St,(212) 956-2355 ,aokinyc.com,1,10036.0,40.760454,-73.985655,5.0,3.0,125.0,1024764.0,1010190055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985655', 'needs_recoding': False, 'human_address': '{""address"":""234 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760454'}",
Saigon 48,Full Serve,Vietnamese,234 W 48th St,(212) 247-8669,,1,10036.0,40.760454,-73.985655,5.0,3.0,125.0,1024764.0,1010190055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985655', 'needs_recoding': False, 'human_address': '{""address"":""234 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.760454'}",
Inakaya,Full Serve,Japanese,620 Eighth Ave,(212) 354-2130,,1,10018.0,40.756039,-73.990651,5.0,3.0,113.0,1087186.0,1010127501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.990651', 'needs_recoding': False, 'human_address': '{""address"":""620 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756039'}",
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,http://www.schnippers.com/,1,10018.0,40.756039,-73.990651,5.0,3.0,113.0,1087186.0,1010127501.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.990651', 'needs_recoding': False, 'human_address': '{""address"":""620 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756039'}",
McDonald's,Quick Serve,Fast Food,1651 Broadway,2125865530,,1,10019.0,40.762164,-73.983575,5.0,3.0,131.0,1024817.0,1010230018.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983575', 'needs_recoding': False, 'human_address': '{""address"":""1651 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762164'}",
Starbucks,Coffee,,1530 Broadway,(212) 391-2079,www.starbucks.com,1,10036.0,40.757674,-73.985121,5.0,4.0,119.0,1022624.0,1009970001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985121', 'needs_recoding': False, 'human_address': '{""address"":""1530 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757674'}",
Sardi's Restaurant,Full Serve,American,234-236 W 44th St,(212) 221-8440,www.sardis.com,1,10036.0,40.757921,-73.987421,5.0,3.0,119.0,1024707.0,1010150049.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987421', 'needs_recoding': False, 'human_address': '{""address"":""234-236 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757921'}",
